Subject,Accuracy,Category
A01T,0.758128078817734,Good
A02T,0.611576354679803,Moderate
A03T,0.9229064039408866,Excellent
A04T,0.6586206896551724,Moderate
A05T,0.5342364532019704,Poor
A06T,0.6514778325123153,Moderate
A07T,0.7559113300492611,Good
A08T,0.958128078817734,Excellent
A09T,0.6672413793103449,Moderate
